Company Name,Ticker,Sector
AARONS INC,AAN,Retail-Wholesale
ADVANCE AUTO PT,AAP,Retail-Wholesale
ASBURY AUTO GRP,ABG,Retail-Wholesale
AUTOBYTEL INC,ABTL,Retail-Wholesale
ACACIA AUTOMOTV,ACCA,Retail-Wholesale
AMER EAGLE OUTF,AEO,Retail-Wholesale
AMAZON.COM INC,AMZN,Retail-Wholesale
AUTONATION INC,AN,Retail-Wholesale
ABERCROMBIE,ANF,Retail-Wholesale
ARCOS DORADOS-A,ARCO,Retail-Wholesale
ARK RESTAURANTS,ARKR,Retail-Wholesale
AEROPOSTALE INC,AROPQ,Retail-Wholesale
ARTISTDIRECT,ARTD,Retail-Wholesale
ASCENA RETAIL,ASNA,Retail-Wholesale
ASOS PLS ADR,ASOMY,Retail-Wholesale
ACORN INTL-ADR,ATV,Retail-Wholesale
AUTOZONE INC,AZO,Retail-Wholesale
ALIBABA GROUP,BABA,Retail-Wholesale
BED BATH&BEYOND,BBBY,Retail-Wholesale
BRAVO BRIO RSTR,BBRG,Retail-Wholesale
BIG BUCK BREWRY,BBUCQ,Retail-Wholesale
BUILD-A-BEAR WK,BBW,Retail-Wholesale
BEST BUY,BBY,Retail-Wholesale
BALINCAN USA,BCNN,Retail-Wholesale
FLANIGANS ENTRP,BDL,Retail-Wholesale
BEBE STORES INC,BEBE,Retail-Wholesale
BEACON ROOFING,BECN,Retail-Wholesale
BELLE INTL HLDG,BELLY,Retail-Wholesale
BIG 5 SPORTING,BGFV,Retail-Wholesale
BIRKS GROUP INC,BGI,Retail-Wholesale
BIGLARI HOLDING,BH,Retail-Wholesale
BOOHOO COM PLC,BHOOY,Retail-Wholesale
BIG LOTS INC,BIG,Retail-Wholesale
BJ'S RESTAURANT,BJRI,Retail-Wholesale
DTS8 COFFEE LTD,BKCT,Retail-Wholesale
BUCKLE INC,BKE,Retail-Wholesale
BARNES & NOBLE,BKS,Retail-Wholesale
BUILDERS FIRSTS,BLDR,Retail-Wholesale
BLOOMIN BRANDS,BLMN,Retail-Wholesale
BMC STOCK HLDGS,BMCH,Retail-Wholesale
BOB EVANS FARMS,BOBE,Retail-Wholesale
BOJANGLES INC,BOJA,Retail-Wholesale
BON-TON STORES,BONT,Retail-Wholesale
BOOT BARN HLDGS,BOOT,Retail-Wholesale
BERGIO INTL INC,BRGO,Retail-Wholesale
BURBERRY GP PLC,BURBY,Retail-Wholesale
BURLINGTON STRS,BURL,Retail-Wholesale
BUFFALO WLD WNG,BWLD,Retail-Wholesale
CABELAS INC,CAB,Retail-Wholesale
CACHE INC,CACH,Retail-Wholesale
CHEESECAKE FACT,CAKE,Retail-Wholesale
CHINA AUTO LOGI,CALI,Retail-Wholesale
CASEYS GEN STRS,CASY,Retail-Wholesale
CATO CORP A,CATO,Retail-Wholesale
COMPANHIA BRASL,CBD,Retail-Wholesale
CALIF BEACH RES,CBHR,Retail-Wholesale
CHRISTOPHER&BNK,CBK,Retail-Wholesale
CRACKER BARREL,CBRL,Retail-Wholesale
CIE FINANCIERE,CFRUY,Retail-Wholesale
CHICOS FAS INC,CHS,Retail-Wholesale
CHUYS HOLDINGS,CHUY,Retail-Wholesale
