,Company_Name,Ticker,Number of Entries
0,AARONS INC,AAN,1258
1,ADVANCE AUTO PT,AAP,1258
2,ASBURY AUTO GRP,ABG,1258
3,AUTOBYTEL INC,ABTL,1258
4,ACACIA AUTOMOTV,ACCA,1258
5,AMER EAGLE OUTF,AEO,1258
6,AMAZON.COM INC,AMZN,1258
7,AUTONATION INC,AN,1258
8,ABERCROMBIE,ANF,1258
10,ARK RESTAURANTS,ARKR,1258
11,AEROPOSTALE INC,AROPQ,1258
13,ASCENA RETAIL,ASNA,1258
15,ACORN INTL-ADR,ATV,1258
16,AUTOZONE INC,AZO,1258
17,BED BATH&BEYOND,BBBY,1258
20,BUILD-A-BEAR WK,BBW,1258
21,BEST BUY,BBY,1258
22,BALINCAN USA,BCNN,1258
23,FLANIGANS ENTRP,BDL,1258
24,BEBE STORES INC,BEBE,1258
25,BEACON ROOFING,BECN,1258
27,BIG 5 SPORTING,BGFV,1258
28,BIRKS GROUP INC,BGI,1258
29,BIGLARI HOLDING,BH,1258
30,BIG LOTS INC,BIG,1258
31,BJ'S RESTAURANT,BJRI,1258
32,BUCKLE INC,BKE,1258
33,BARNES & NOBLE,BKS,1258
34,BUILDERS FIRSTS,BLDR,1258
37,BOB EVANS FARMS,BOBE,1258
38,BON-TON STORES,BONT,1258
42,BUFFALO WLD WNG,BWLD,1258
43,CABELAS INC,CAB,1258
44,CHEESECAKE FACT,CAKE,1258
46,CASEYS GEN STRS,CASY,1258
47,CATO CORP A,CATO,1258
48,COMPANHIA BRASL,CBD,1258
50,CHRISTOPHER&BNK,CBK,1258
51,CRACKER BARREL,CBRL,1258
53,CHICOS FAS INC,CHS,1258
57,CALLOWAYS NURSY,CLWY,1258
58,CHIPOTLE MEXICN,CMG,1258
61,PC CONNECTION,CNXN,1258
62,CONNS INC,CONN,1258
63,COSI INC,COSIQ,1258
64,COSTCO WHOLE CP,COST,1258
65,AMERICAS CAR-MT,CRMT,1258
66,CARREFOUR SA,CRRFY,1258
68,CITI TRENDS INC,CTRN,1258
69,CTRIP.COM INTL,CTRP,1258
70,CVS HEALTH CORP,CVS,1258
72,FAMOUS DAVES,DAVE,1258
73,DEBENHAMS ADR,DBHSY,1258
74,DILLARDS INC-A,DDS,1258
76,DENNY'S CORP,DENN,1258
77,DESTINATION MTR,DEST,1258
80,DGSE COMPANIES,DGSE,1258
81,DINEEQUITY INC,DIN,1258
82,AMCON DISTR CO,DIT,1258
84,DICKS SPRTG GDS,DKS,1258
86,DOLLAR TREE INC,DLTR,1258
89,DOMINOS PIZZA,DPZ,1258
91,DARDEN RESTRNT,DRI,1258
92,DSW INC CL-A,DSW,1258
93,DESTINATION XL,DXLG,1258
94,BRINKER INTL,EAT,1258
95,EBAY INC,EBAY,1258
98,ELXSI CORP,ELXS,1258
101,ETHAN ALLEN INT,ETH,1258
102,EVINE LIVE INC,EVLV,1258
103,EXPEDIA INC,EXPE,1258
105,FARMER BROS CO,FARM,1258
106,FASTENAL,FAST,1258
107,FOG CUTTER CAP,FCCG,1258
109,FRAGRANCENET,FGNT,1258
110,FINISH LINE-CLA,FINL,1258
112,FOOT LOCKER INC,FL,1258
113,1800FLOWERS.COM,FLWS,1258
114,FOSSIL GRP INC,FOSL,1258
115,FREDS INC,FRED,1258
117,GRANITE CITY FD,GCFB,1258
118,GENESCO INC,GCO,1258
123,GAMESTOP CORP,GME,1258
127,GROUP 1 AUTO,GPI,1258
128,GAP INC,GPS,1258
131,GOOD TIMES REST,GTIM,1258
132,GLACIER WTR SVS,GWSV,1258
134,HOME DEPOT,HD,1258
135,HHGREGG INC,HGG,1258
136,HIBBET SPORTS,HIBB,1258
137,HERBALIFE LTD,HLF,1258
139,HENNES&MAURIT,HNNMY,1258
140,CHANTICLEER HLD,HOTR,1258
141,HSN INC,HSNI,1258
142,HAVERTY FURNIT,HVT,1258
143,MARINEMAX INC,HZO,1258
144,IAC/INTERACTIV,IAC,1258
147,INGLES MARKET A,IMKTA,1258
149,ITOCHU CORP,ITOCY,1258
150,JACK IN THE BOX,JACK,1258
151,PENNEY (JC) INC,JCP,1258
152,JEWETT CAMERON,JCTCF,1258
154,JAMBA INC,JMBA,1258
156,SAINSBURY(J)ADR,JSAIY,1258
157,NORDSTROM INC,JWN,1258
159,KATE SPADE&CO,KATE,1258
161,KINGFISHER -ADR,KGFHY,1258
162,KINGOLD JEWELRY,KGJI,1258
163,KIRKLANDS INC,KIRK,1258
164,CARMAX GP (CC),KMX,1258
165,KONA GRILL INC,KONA,1258
166,KROGER CO,KR,1258
167,KOHLS CORP,KSS,1258
